subzone_n,pln_area_n,beach_area,business_2,educational_institution,utility,special_use,waterbody,port_/_airport,park,road,business_1_-_white,commercial,light_rapid_transit,transport_facilities,health_&_medical_care,business_1,residential,sports_&_recreation,commercial_&_residential,mass_rapid_transit,civic_&_community_institution,open_space,residential_with_commercial_at_1st_storey,cemetery,reserve_site,white,place_of_worship,business_2_-_white,hotel,residential_/_institution,business_park_-_white,business_park,agriculture,pri_classification
TELOK BLANGAH RISE,BUKIT MERAH,0,0,42561.0989200123,0,0,0,0,20186.4823983426,108482.131782813,0,0,0,0,3376.69021788893,0,277129.898598363,0,12984.72449793,0,19499.4311045011,8721.57268308908,3924.48950075785,0,22897.6937547242,0,13904.3085750785,0,0,0,0,0,0,RESIDENTIAL
TELOK BLANGAH WAY,BUKIT MERAH,0,0,36212.114134297,4829.68778880274,0,0,0,0,62052.1809569046,0,0,0,0,0,0,157582.28683414,0,7840.51596489715,0,3988.04604218108,0,4321.98077521312,0,0,0,0,0,0,0,0,0,0,RESIDENTIAL
TIONG BAHRU,BUKIT MERAH,0,0,0,4960.06656299513,0,0,0,8033.73714282,126340.049582749,0,0,0,0,0,0,257185.407237974,0,8592.3550741588,0,10791.6290966543,574.309932879314,19292.1533483099,0,0,0,1613.70808407118,0,10743.9023843072,0,0,0,0,RESIDENTIAL
TIONG BAHRU STATION,BUKIT MERAH,0,0,16919.7367518957,0,0,0,0,0,73660.9149444855,0,18309.9312698173,0,0,0,0,234146.182033861,0,3790.48587506845,0,0,1655.14279284189,1329.72163098324,0,0,0,975.446122509306,0,0,0,0,0,0,RESIDENTIAL
BANGKIT,BUKIT PANJANG,0,0,43985.8761254565,0,0,12456.529068191,0,152910.418103949,129079.547385307,0,3259.75505680267,1845.99344118705,0,0,0,369786.728030035,0,30420.1939348535,0,0,6792.9207425926,0,0,5988.77450713234,0,6652.99277366657,0,0,0,0,0,0,RESIDENTIAL
DAIRY FARM,BUKIT PANJANG,0,0,155587.269374292,5340.79888336063,0,33978.0354526404,0,98588.6084691681,217085.405153708,0,0,0,2031.39888348405,0,0,652523.370262146,0,0,0,8284.97144863949,17187.0602983862,20259.6957849196,0,0,0,25014.2636436006,0,0,0,0,0,0,RESIDENTIAL
FAJAR,BUKIT PANJANG,0,0,21911.8309278051,10293.9780088696,0,15262.2245500148,0,67484.069718793,95963.7245179212,0,0,769.444985277028,6814.6642471407,0,0,404951.227377751,0,12888.6208705719,0,4258.78326969896,3211.11140129379,0,0,20408.1302111716,0,4209.20512084973,0,0,0,0,0,0,RESIDENTIAL
JELEBU,BUKIT PANJANG,0,0,45180.6768397309,0,0,33910.6227603118,0,20460.8388055009,152912.04514941,0,11499.0832219575,2268.32398162081,0,0,0,609640.867917674,0,18847.9610407507,0,3986.72499165082,6482.65381780021,0,0,3041.81396889249,0,2969.30546497971,0,0,0,0,0,0,RESIDENTIAL
NATURE RESERVE,BUKIT PANJANG,0,0,17094.3739802324,162860.637053463,0,0,0,1179.97164160057,273512.539060609,0,0,0,0,0,0,450647.425288613,30285.98365707,0,0,7217.33497707486,2254326.13655432,0,0,938956.797291616,0,5238.68085481392,0,0,0,0,0,0,OPEN SPACE
SAUJANA,BUKIT PANJANG,0,0,56583.2098105833,1684.06747617179,0,44029.7797323849,0,56762.8244778448,121685.070298044,0,0,1827.8080643764,0,0,0,350381.498540005,11429.0963851932,12455.8374274015,0,3951.58379396242,11189.9874370792,0,0,0,0,2998.77377992499,0,0,0,0,0,0,RESIDENTIAL
SENJA,BUKIT PANJANG,0,0,41600.7016351838,4796.29888148659,0,12579.1609997915,0,30278.3760285411,198508.209542107,0,4007.46754986076,745.32143276479,0,7868.85098515055,0,312273.065753841,0,0,0,0,5871.01723726998,0,0,2038.55664629309,0,4148.6119294258,0,0,0,0,0,0,RESIDENTIAL
ANAK BUKIT,BUKIT TIMAH,0,0,509786.232836306,1649.22675672476,225765.561837451,0,0,30126.6976510722,587427.306071127,0,23006.4863579805,0,7094.82990994925,19752.0809564001,0,1146493.58764458,0,51319.8370116341,0,27139.5757869038,11595.8734754832,29048.6090196529,0,75870.9663250493,0,11844.6082729554,0,10418.2650899822,0,0,0,0,RESIDENTIAL
CORONATION ROAD,BUKIT TIMAH,0,0,277680.28357892,0,0,38878.0229458154,0,4717.06633973817,261967.969329126,0,4602.22683354234,0,3511.8085375502,0,0,808640.233556952,0,12705.5354438167,0,2065.32596961914,0,3584.87623127002,0,4875.46054076828,0,1854.36598737734,0,0,0,0,0,0,RESIDENTIAL
FARRER COURT,BUKIT TIMAH,0,0,63377.8765241868,5281.66331474328,0,0,0,2085.88382965129,107255.187681533,0,3807.21106325182,0,0,0,0,369528.346901656,0,0,0,0,0,1431.96529984037,0,0,0,5992.39692927089,0,0,0,0,0,0,RESIDENTIAL
HILLCREST,BUKIT TIMAH,0,0,192449.109289543,1650.4714105501,0,19287.0852657439,0,28244.2258439843,505130.849704826,0,0,0,2769.28658867427,1818.16675567875,0,1833475.12014941,0.00184912752517322,0,0,0,4382.91733301884,8182.42848088815,0,36200.5262974924,0,2893.03508039995,0,0,0,0,0,0,RESIDENTIAL
HOLLAND ROAD,BUKIT TIMAH,0,0,132368.728400494,241.62321149978,0,109727.058549607,0,83761.7810097639,462695.917461713,0,0,0,0,0,0,2522411.57836034,0,9399.67951904001,0,13634.5412139226,13354.0722081754,5509.34037681535,0,36042.1794864028,0,0,0,0,0,0,0,0,RESIDENTIAL
LEEDON PARK,BUKIT TIMAH,0,0,557.268819449789,419.67602736177,0,4332.83782553794,0,3743.47679953655,341779.816146235,0,22385.0318414299,0,1110.60075321821,0,0,1671358.59439326,0,2.02375090124535,0,0,0,0,0,0,0,3861.90465778638,0,0,0,0,0,0,RESIDENTIAL
SWISS CLUB,BUKIT TIMAH,0,0,31628.1807137929,49745.4829945922,0,20527.4457705139,0,19680.0523618363,482931.7356955,0,13086.7488449475,0,2689.40129274083,0,0,2709278.56366464,89458.7924554662,0,0,30025.2435593545,8255.17969823656,5813.91618887407,0,3527.85390612512,0,0,0,0,0,0,0,0,RESIDENTIAL
ULU PANDAN,BUKIT TIMAH,0,0,18945.5610751501,0,0,42963.8591740169,0,21878.9244475337,220982.148283896,0,0,0,0,0,0,866776.571177076,0,6069.1309882452,0,0,32106.397575697,9407.04291853175,0,9357.59517279519,0,0,0,0,0,0,0,0,RESIDENTIAL
